subjID	version	block	trial_index	time_elapsed	trial_type	internal_node_id	stim	key_press	rt	outcome	valued	devalued	cor_dir	isdevalued	chose	score
debugshnTF	1.0	1.ID_3	95	147234	html-keyboard-response	0.0-95.0	apple	39	1442	lemon					Right	1
debugshnTF	1.0	1.ID_4	97	150498	html-keyboard-response	0.0-97.0	coconut	37	1261	pear					Left	1
debugshnTF	1.0	1.ID_4	99	152883	html-keyboard-response	0.0-99.0	grape	39	381	pineapple					Right	0
debugshnTF	1.0	1.ID_4	101	155412	html-keyboard-response	0.0-101.0	cherries	37	526	orange					Left	0
debugshnTF	1.0	1.ID_4	103	157491	html-keyboard-response	0.0-103.0	bananas	39	76	melon					Right	0
debugshnTF	1.0	1.ID_4	105	159843	html-keyboard-response	0.0-105.0	apple	37	349	lemon					Left	0
debugshnTF	1.0	1.ID_4	107	512820	html-keyboard-response	0.0-107.0	bananas	39	350973	melon					Right	0
debugshnTF	1.0	1.ID_4	109	515125	html-keyboard-response	0.0-109.0	grape	37	302	pineapple					Left	1
debugshnTF	1.0	1.ID_4	111	517236	html-keyboard-response	0.0-111.0	kiwi	39	106	strawberry					Right	1
debugshnTF	1.0	1.ID_4	113	519379	html-keyboard-response	0.0-113.0	kiwi	39	141	strawberry					Right	1
debugshnTF	1.0	1.ID_4	115	521893	html-keyboard-response	0.0-115.0	apple	39	510	lemon					Right	1
debugshnTF	1.0	1.ID_4	117	524307	html-keyboard-response	0.0-117.0	cherries	37	412	orange					Left	0
debugshnTF	1.0	1.ID_4	119	526628	html-keyboard-response	0.0-119.0	coconut	39	315	pear					Right	0
debugshnTF	1.0	1.ID_5	121	529748	html-keyboard-response	0.0-121.0	kiwi	39	1117	strawberry					Right	1
debugshnTF	1.0	1.ID_5	123	532196	html-keyboard-response	0.0-123.0	apple	37	444	lemon					Left	0
debugshnTF	1.0	1.ID_5	125	534501	html-keyboard-response	0.0-125.0	bananas	39	301	melon					Right	0
debugshnTF	1.0	1.ID_5	127	536788	html-keyboard-response	0.0-127.0	apple	37	283	lemon					Left	0
debugshnTF	1.0	1.ID_5	129	539076	html-keyboard-response	0.0-129.0	cherries	39	285	orange					Right	1
